word,definition,translation
Zabrze,n an industrial city in southern Poland,扎布热[波兰南部城市](旧称兴登堡)
zabu,,瘤牛
zac,,n. 扎克（男子名）
zac efron,,扎克·埃夫隆
zacapa,, [地名] [危地马拉] 萨卡帕
zacate,,草本植物饲料
Zacatecas,,萨卡特卡斯(墨西哥中部一州及该州的首府)
zacatilla,,优质胭脂虫
zacaton,,"萨卡通草(美国西南部和墨西哥产, 可制刷子, 条帚, 纸张等)"
zaccab,,白泥石灰浆
zaccaria,, [人名] 扎卡赖亚
zacchaeus,," [男子名] 扎基厄斯来源于希伯来语，含义是“正直的人，纯洁的”(the righteous one,pure)"
zaccheus,, [男子名] 扎基厄斯 Zacchaeus的变体
Zach,,"n. 扎克(Zachary,Zachariah的昵称, 亦作Zack,Zak)(m.)"
zacharia,, [人名] 扎卡赖亚
Zachariah,,[圣]撒迦利亚 (①施洗者约翰之父 ②耶稣称为殉道的人 ③男子名)
Zacharias,n a Hebrew minor prophet of the late 6th century BC\nn an Old Testament book telling the prophecies of Zechariah which are concerned mainly with the renewal of Israel after the Babylonian Captivity,"n. 扎卡赖亚斯,撒迦利亚,殉道者撒迦利亚"
Zachariasen theory,,[电] 扎卡里亚森理论
zachary,,"n. 圣扎迦利（等于Zacharias, Saint）；扎卡里（男子名）"
Zachary Taylor,,"扎卡里·泰勒（美国总统, 1849-1850）"
zachry,, [人名] 扎克里
zachun oil,,[医] 比妥树油(产于热带非洲及亚洲的蒺藜科植物)
zack,,n. [澳]六便士之硬币
Zack de la Rocha,"A politically aware Mexican-American who has speant time with various bands, fusing hip hop and rock, to raise political awareness and has appeared before the UN council. Zack left the very popular band Rage Against the Machine in 2000 because of ""creative"" differences. Zack has been working on a solo endeavor with the help to Tren Renzor of Nine Inch NAils. He has recently released the single ""March of Death"" targeted at pres. Bush. this single was produced by D.J. Shadow. The release of Zack's album is still in question\n> Zach de la Rocha is one of the best men to have ever lived.\n",
zack merrick,"The amazingly talented and attractive bassist for Maryland-based pop/punk band [All Time Low]. Has a nose ring and several tattoos, and can be easily identified by his green sleeveless All Over It hoodie, which seems to be just about all he wears...\n> Listen to Zack Merrick's sick bass line on Running From Lions!\n",
Zack Morris phone,"One of those 8 pound cell phones that resembles a brick. These devices were primarily made by Motorola in the mid to late 1980's. Zack Morris (a.k.a. Mark-Paul Gosselaar) regularly used these giant ""portable"" phones on the popular syndicated show, ""Saved By The Bell.""\n> Bill: Hey Joe, can I use your cell?\n> Joe: Yep, let me just get it out of my breifcase for you...\n> Bill: Jeez! Is that a Zack Morris phone? I'll just wait until I get home. I wouldn't be caught dead talking on that dinosaur...\n",
Zackel,,[匈]扎克尔绵羊
zackery,, [人名] 扎克里
zackheim,, [人名] 扎克海姆
zacks,, [人名] 扎克斯
Zacky Vengeance,"The rhythm guitarist for metalcore/punk/rock band Avenged Sevenfold. (Otherwise known as a7x). His real name is Zack Baker, and he was born in Orange Country, California.\n> Dude, Zacky Vengeance totally fucking played the best guitar solo I've ever seen at Warped Tour last summer!\n",
zad,,abbr. Zadar 扎达尔（南斯拉夫西部港市）; Zadock 扎多克（男子名）
Zadar,,扎达尔[南斯拉夫西部港市](旧称扎拉)
zaddik,,以犹太教标准来衡量认为正直而有道德的人
zade,,n. (Zade)人名；(土、土库、阿塞)扎德
zaditen,,甲哌硫庚酮
zadkiel,,a. 萨德基耶尔历[佔星用]
zafar,,n. (Zafar)人名；(西)萨法尔；(捷、土库、阿塞、伊朗、巴基、阿拉伯)扎法尔；(俄、吉尔)扎法尔
zaffer,"n. A pigment obtained, usually by roasting cobalt glance with\n   sand or quartz, as a dark earthy powder. It consists of crude cobalt\n   oxide, or of an impure cobalt arseniate. It is used in porcelain\n   painting, and in enameling pottery, to produce a blue color, and is\n   often confounded with smalt, from which, however, it is distinct, as it\n   contains no potash. The name is often loosely applied to mixtures of\n   zaffer proper with silica, or oxides of iron, manganese, etc.","n. 含氧化钴的混合物,花绀青"
zaffre,,n. 含氧化钴的混合物
Zafiri,,[埃]扎非里棉
zafirlukast,, [医]扎鲁司特<抗过敏药>
zafiro,,群青(颜料)
zaftig,s (of a female body) healthily plump and vigorous; ,"a. 身体丰满而富曲线美的, 身段漂亮的"
zag,n an angular shape characterized by sharp turns in alternating directions,"n. 急转, 急变"
zagami,, [人名] 扎加米
Zagari's disease,,"[医] 扎加里氏病, 口腔干燥"
zagat,,n. 美国一家对景点、饭店、旅馆等旅游企业进行评估的公司
Zagazig,,扎加齐格[埃及东北部城市]
zagel,, [人名] 扎格尔
zagged,past tense of zag\nn an angular shape characterized by sharp turns in alternating directions,"(zag 的过去时) n.急转, 急变"
zagging,-ing form of zag\nn an angular shape characterized by sharp turns in alternating directions,"(zag 的现在分词) n.急转, 急变"
Zaghlul Pasha,,"扎格鲁尔(Saad, 约1860-1927, 曾于1924年任埃及总理)"
Zaglas' ligament,,"[医] 札格勒斯氏韧带, 骶髂斜韧带"
Zaglas's ligaments,,"[医] 札格勒斯氏韧带, 骶髂斜韧带"
Zaglossus,,[网络] 原针鼹属；长吻针鼹属
Zagora,,[埃]扎古拉棉
zagorin,, [人名] 扎戈林
zagreb,n. the capital of Croatia,n. 萨格勒布（南斯拉夫西北部城市）
Zagreus,,n. [希神]扎格列欧斯
Zagros,,Mountains扎格罗斯山脉[伊朗西南部]
Zagros Mountains,,札格洛斯山脉
zags,plural of zag\nn an angular shape characterized by sharp turns in alternating directions,"(zag 的复数) n.急转, 急变"
zaguan,,墨西哥式的门廊
zah,,"abbr. Zahedan, Iran 伊朗，扎黑丹机场（代码）"
zaha,, [地名] [缅甸] 扎哈
Zahal,,"n. 扎哈尔 ( 以色列的国防部队, 1948年建立)"
zahara,, [地名] [西班牙] 萨阿拉
Zaharias,,[网络] 扎哈里亚斯
zahava,, [人名] 扎哈瓦
Zahedan,,"扎黑丹(伊朗东部城市, 亦作 Zahican)"
zaheer,,n. (Zaheer)人名；(巴基、阿富)查希尔
Zahidan,,扎黑丹[伊朗东南部城市]( 锡斯坦和俾路支斯坦省省会)
zahl,, 单位晶胞分子数
Zahle,,扎赫勒[黎巴嫩中部城市]
zahn,, [人名] 扎恩; [地名] [利比亚] 扎恩
Zahn's lines,,"[医] 粲氏线(血栓表面皱痕,因血小板层的边缘凸出所致)"
Zahn's ribs,,[医] 粲氏线(血栓表面皱痕)
zahniser,, [人名] 扎尼泽
zahorian,, [人名] 扎霍里安
Zahorsky's disease,,[医] 幼儿急疹
zahra,,n. (Zahra)人名；(伊朗、阿拉伯)扎赫拉
zahrah,, [地名] [阿尔及利亚] 宰赫拉（地区）
ZAI,,[计] 零地址指令
zaibatsu,,n. 财阀
zaid,,n. (Zaid)人名；(罗、俄、乍、阿拉伯)扎伊德
zaikai,,"<日>n.商界,财团[日文汉字：财界]"
zaim,n. A Turkish chief who supports a mounted militia bearing the\n   same name.,n. (Zaim)人名；(土、罗、阿拉伯)扎伊姆
zaima,,长首后斜尾单桅帆船
zaimuth,,n. 方位
zain,"n. A horse of a dark color, neither gray nor white, and having\n   no spots.",n. (无斑点的)纯暗色马
zainab,,n. (Zainab)人名；(俄)扎伊纳布；(阿拉伯)宰纳卜
Zaire,n. the basic unit of money in Zaire,n. 扎伊尔\n[医] 流行性霍乱
Zaire River,,[网络] 萨伊河
Zairean,a. of or relating to or characteristic of Zaire or its people,n. (=Zairian)扎伊尔人\na. (=Zairian)扎伊尔(人)的
Zairese,n. a native or inhabitant of Zaire,a. 扎伊尔
Zairese monetary unit,,[网络] Zairese货币单位
Zairian,,n. 扎伊尔人\na. 扎伊尔的；扎伊尔人的
Zairois,,n. (=Zairian)扎伊尔人\na. (=Zairian)扎伊尔(人)的
zaitsev,,n. (Zaitsev)人名；(俄)扎伊采夫
Zaitsev rule,,[化] 札依采夫规则
zajonc,, [人名] 扎伊翁茨
Zak,,n. (Zak)人名；(德)察克；(俄、波、乌干)扎克；(瑞典)萨克
zaka,, [地名] [津巴布韦] 扎卡
zakanitch,, [人名] 扎卡尼奇
zakarian,, [人名] 扎卡里安
zakat,n. the fourth pillar of Islam is almsgiving as an act of worship,"n. [宗]天课,扎卡特(伊斯兰教徒每年一次的慈善捐款)"
zakavasta,,"[医] 开菲小粒(含开菲酵母等的小粒,用以制开菲乳)"
zakheim,, [人名] 扎赫姆
zaki,,n. 海岬
zakim,, [人名] 扎基姆
zakin,, [人名] 扎金
zakir,,n. (Zakir)人名；(印、塔吉、俄)扎基尔
Zakiya,,n. 扎吉雅(亦作 Zakiyya)(f.)
zakk wylde,"Outstanding guitarist accomplished in numerous styles ranging from classical to the heaviest metal this side of Tony Iommi. One of the premier guitarists of today. Fiercely loyal to friends, bandmates and fans. Does not suffer fools or assholes well. Big supporter of the Red, White and Blue. Big believer in living by a code of honor. As honest as the day is long. If you don't think you want to know his answer, you best not ask the question. A rock & roll classic.\n> If you want to hear straight ahead heavy music that does not follow another's lead, dial up some Zakk Wylde.\n",
Zakopane,,"位于波兰塔特拉(Tatra)山脉北坡的一个艺术中心, 以卓越的木雕著称, 对欧洲的雕刻发展有较大影响"
zakouma,, [地名] [乍得] 扎库马
zaks,, [人名] 扎克斯
zakuski,,"[复]<俄>[烹]n.(由涂鱼子酱的小三明治、烟熏香肠等拼成的)拼盘, (酸味奶油浸的小萝卜等的)冷盆( 通常都与伏特加酒一起上桌)"
zal,,abbr. zaliv (Russian=bay) （俄语）海湾，河
zala,,硼砂
Zalambdalestes,,[古生]古猬兽科
zalan,,扎兰绵羊
zalaznick,, [人名] 扎拉兹尼克
zalcatoze,,水杨酸钠、溴化钾、葡萄糖复合制剂(镇痛药)
zalcitabine,n. an antiviral drug used to combat HIV infection,n. 扎西他宾（一种抗艾滋病药）
zale,,n. 扎列（美国一家大型珠宝零售商）；来自海洋的力量
zaleplon,, [医]扎来普隆<催眠镇静药>
zales,plural of zale,(zale 的复数) n. 扎列（美国一家大型珠宝零售商）；来自海洋的力量
zaleski,, [人名] 扎列斯基; [地名] [美国] 扎莱斯基
Zaleski's test,,[医] 扎累斯基氏试验(检血内一氧化碳)
Zalgo,To invoke the hive-mind representing chaos.\r\nInvoking the feeling of chaos.\r\nWith out order.\r\nThe Nezperdian hive-mind of chaos. Zalgo.\r\nHe who Waits Behind The Wall.\n> ZALGO!\n> The entire room is filled with Zalgo.\n,
zall,, [人名] 扎尔
zalman,,n. (Zalman)人名；(俄、以、罗)扎尔曼
zalmay,, [人名] 扎尔梅
zalokar,, [人名] 扎洛卡
zalophus,n. sea lions,n. 海驴属
Zalophus californianus,,[网络] 加州海狮；加洲海狮；加利福尼亚海狮
Zalophus californicus,,[网络] 加利福尼亚州
zalpin,,匹拉比妥、水杨酸钠、安乃近、葡萄糖复合制剂(解热、镇痛药)
zalpirin,,匹拉比妥、水杨酸钠、安乃近、咖啡因、葡萄糖复合制剂(解热、镇痛药)
zam,,abbr. examination(s) 考试; 检查（代号）; Z-axis modulation Z轴调制; zinc
Zama,n. the battle in 202 BC in which Scipio decisively defeated Hannibal at the end of the second Punic War,n. 梵谷水郡；扎马（北非古城）；座间
Zamak,,扎马克锌基压铸合金
zaman,,[网络] 曼人；时代报；萨曼
zamang,,[网络] 扎马
zamarra,,n. (西班牙牧羊人穿的)羊皮外套
Zambesi fever,,[医] 赞比西溪谷热
zambezi,n. an African river; flows into the Indian Ocean,赞比西河[非洲南部]
Zambezi River,,[网络] 赞比西河；河流有赞比西河；赞比亚河
Zambia,n. a republic in central Africa; formerly controlled by Great Britain and called Northern Rhodesia until it gained independence within the commonwealth in 1964,n. 赞比亚\n[经] 赞比亚
Zambian,n. a native or inhabitant of Zambia\na. of or relating to or characteristic of Zambia or its people,n. 赞比亚人\na. 赞比亚(人)的
Zambian kwacha,,[网络] 赞比亚克瓦查；尚比亚克瓦查
Zambian monetary unit,,[网络] 赞比亚货币单位
Zambians,plural of Zambian\nn. a native or inhabitant of Zambia\na. of or relating to or characteristic of Zambia or its people,(Zambian 的复数) n.赞比亚人\na. 赞比亚(人)的
zambo,"n. The child of a mulatto and a negro; also, the child of an\n   Indian and a negro; colloquially or humorously, a negro; a sambo.",n. 印地安人与黑人之混血儿
Zamboanga,,三宝颜[菲律宾南部港市](在棉兰老岛西南岸)
zambomba,,n. 桑梆巴(一种西班牙乐器)
Zamboni,n the trademark for a machine that smooths the ice in an ice-skating rink,n. (用以磨平溜冰场等表面的)赞博尼磨冰机
zamboninite,,"氟钙镁石, 软绿脱石"
zambos,pl.  of Zambo,n. zambo的变形
zambra,,"n. 西班牙舞,摩尔舞"
zambrana,, [地名] [古巴、西班牙] 桑布拉纳
zambrano,, [地名] [巴拿马、哥伦比亚、洪都拉斯、尼加拉瓜] 桑布拉诺
Zambrini's ptyaloreaction,,[医] 桑布里尼氏涎反应
Zambrini's reaction,,[医] 桑布里尼氏反应(唾液反应)
Zambrini's test,,"[医] 桑布里尼氏试验, 涎反应"
Zamenhof,,"柴门霍夫(Lazaro Ludoviko, 1859 -1917, 波兰眼科医生、语言学家, 世界语创始人)"
zamia,n. any of various cycads of the genus Zamia; among the smallest and most verdant cycads,n. 泽米
zamia family,,[网络] 扎米亚家族
Zamia pumila,,[网络] 矮泽米
Zamiaceae,,[网络] 泽米铁科；泽米科；泽米鐡科
zamindar,"n. A landowner; also, a collector of land revenue; now,\n   usually, a kind of feudatory recognized as an actual proprietor so long\n   as he pays to the government a certain fixed revenue.",n. 印度地主
zamindari,n. The jurisdiction of a zamindar; the land possessed by a\n   zamindar.,n. (印度)地主拥有的土地管辖制
zamindary,n. Alt. of Zamindari,n. 【印度历史】；(印度)土地持有及田赋征收制度
zamium,,扎密阿姆镍铬合金
Zammit's test,,[医] 察米特氏试验(一种血清试验)
Zamora,,n. (Zamora)人名；(英)扎莫拉；(西、罗)萨莫拉
zamos,"(adj) say:  ""ZAE-mus"";   This adjective imparts a sense of distinguishment or notarity to the noun it modifies.  Originally introduced via Tupac's nuanced prose in his posthumusly-published journal, the term has seen growing relevance in hip-hop culture at large, lately creaping into a ""Snoop Dog"" rap and  appearing often in the standard MTV-laced fare of today's adolescent programing.\n> Yo, man, that Porsche is Zamos!\n> OR:\n> Yo man, nice threads!  You're really Zamosed out tonight!\n",
zamouse,"n. A West African buffalo (Bubalus brachyceros) having short\n   horns depressed at the base, and large ears fringed internally with\n   three rows of long hairs. It is destitute of a dewlap. Called also\n   short-horned buffalo, and bush cow.",n. 萨姆斯野牛(产于西非洲之一种野牛)
zampa,,abbr. Zanzibar and Madagascar Peoples Airway 桑给巴尔和马达加斯加人民航空公司
zampano,, [人名] 赞帕诺
Zamrotti,"Zamrotti is a word, in Italian, which describes an individual, who has a fascination for exotic supercars, and enjoys racing them, as well—usually, on city streets. This individual is not a show-off, by any means; he/she just has a need for speed, as surely most people would, when in the presence of extremely fast vehicles.\n> 1. Joe went to the car show, to checkout the Ferrari and Lamborghini exhibit; he's such a zamrotti.\n> 2. Marco is such a zamrotti; he went to the Lexus dealership, to test-drive the Lexus LFA. Too bad that car is way out of his price range.\n",
Zamzummim,,n. [基督教]散送冥人(《圣经·旧约》提及的巨人族)
zan,,"n. 党徒, 球迷, 坚决支持者, 党人, 党派分子, 敌后游击队员\na. 党派性的, 有偏袒的, 游击队的"
zana,, [地名] [马里] 扎纳
zanaloin,,桑给巴尔芦荟苷
zanamivir,, [医]扎那米韦
Zanbato,"A Zanbato (literally ""horse-slaying sword"" or ""horse-chopping saber"") is an especially large type of Japanese sword, the historical use of which is disputed. The sword closely resembles the nodachi or odachi, however it differs from the nodachi by having a ricasso of approximately 12 to 18 inches (460 mm). This lends more to the theory of the sword having a practical use in feudal Japan. The increased length of the blade, along with the extra grip, would give it dual use both as a sword and as a polearm for attacking advancing cavalry. This style of zanbato sword can be found for sale in rural tourist shops and stands in Kyoto and Nara prefectures of Japan. This sword may have been inspired by the Chinese zhan ma dao as both were said to have been used for killing the horse and rider in one swing. It is likely that the zanbato is actually a mis-construction of the zhǎn mǎ dāo, poorly drawn or translated by Japanese travellers who witnessed the weapon being used during battle.\n> Such extremely long and curved zabatao swords did exist, and were solely used for ceremonial purposes. Experienced smiths often took upon themselves to prove their talent by creating these so-called ""zanbato"" as a way to challenge themselves. This led to the extremely long blades often seen in ancient depictions, some of which were so long (over a dozen feet long) that they could hardly be mistaken for something other than display pieces.\n",
zancanaro,, [人名] 赞卡纳罗
Zanclidae,,镰刀鱼科
zand,, [人名] 赞德; [地名] [荷兰、伊朗] 赞德
zande,, [地名] [比利时] 赞德
ZANDER,"n. A European pike perch (Stizostedion lucioperca) allied to\n   the wall-eye; -- called also sandari, sander, sannat, schill, and zant.",n. [鱼]梭鲈
Zander apparatus,,[医] 赞德氏理疗器
Zander system,,[医] 赞德氏系统(一种被动性运动治疗)
Zander's cells,,"[医] 赞德氏细胞, 囊细胞"
Zandering,"-ing form of ZANDER\nn. A European pike perch (Stizostedion lucioperca) allied to\n   the wall-eye; -- called also sandari, sander, sannat, schill, and zant.",(ZANDER 的现在分词) n.[鱼]梭鲈
zandra,,n. (Zandra)人名；(英)赞德拉
zandt,, [人名] 赞特
zane,,n. 赞恩（John的异体）
Zane Grey,,n. 赞恩·格雷
Zanella,,扎内拉伞布
Zanesville,,n. 赞斯维尔（美国俄亥俄州城市）
zang,,n. 气力；特种颜色
Zang's space,,[医] 赞格氏腔(锁骨上小窝)
Zangemeister test,,[医] 赞格迈斯特氏试验(父儿关系鉴定)
Zangemeister's test,,[医] 赞格迈斯特氏试验(父儿关系鉴定)
Zangwill,n English writer (1864-1926),"赞格威尔(①姓氏 ②Israel, 1864-1926, 英国犹太人小说家, 剧作家)"
zani,, [地名] [刚果民主共和国] 扎尼
zanier,"s. ludicrous, foolish\ns. like a clown",a. 滑稽的( zany的比较级 ); 笨的; 可笑的; 荒唐的
zanies,pl.  of Zany,a. 滑稽的；古怪的；愚蠢的\nn. 小丑；笨人；马屁精
zaniest,"s. ludicrous, foolish\ns. like a clown",a. 滑稽的( zany的最高级 ); 笨的; 可笑的; 荒唐的
zanily,,"adv. 愚蠢可笑, 笨, 荒唐, 好笑, 滑稽"
zaniness,,"n. 小丑, 滑稽表演者, 马屁精, 追随者, 糊涂虫, 笨人"
zanja,,灌溉渠
zanjon,,深沟
zankel,, [人名] 赞克尔
zanker,, [人名] 赞克
zanla,,abbr. Zimbabwe African National Liberation Army 津巴布韦非洲国家解放军
Zannichellia,,[网络] 角果藻属
Zannichellia palustris,,[网络] 角果藻；角果澡；柄果角果藻
Zannichelliaceae,,[网络] 角果藻科；角茨藻科
zanny,, [医]口腔科用计算机系统[德]
zanoga,,冰斗
zanon,,n. (Zanon)人名；(意)扎农；(西)萨农
zanotti,, [人名] 扎诺蒂
zant,, [医]对氯间二甲酚（消毒药）
zantac,, 甲胺呋硫
Zante,n. See Zantewood.,n. 桑特岛
zantedeschia,, 马蹄莲属
Zantedeschia aethiopica,,[网络] 马蹄莲；彩色马蹄莲；海芋
Zantedeschia rehmanii,,[网络] 马蹄莲
zanthine,,黄嘌呤
zanthogenate,,黄(原)酸盐
zanthopsin,,眼黄素
zanthoxylum,n deciduous or evergreen trees or shrubs: prickly ash,n. 花椒属植物
Zanthoxylum americanum,,[网络] 美洲花椒
Zanthoxylum avicennae,,[医] 勒ㄍ鹰不泊
Zanthoxylum clava-herculis,,[网络] 花椒芝麻
Zanthoxylum flavum,,[网络] 花椒黄花
Zanthoxylum fraxineum,,[网络] 花椒（Zanthoxylum fraxineum）
Zanthoxylum L.,,[医] 花椒属
Zanthoxylum mantschurium Benn.,,[医] 崖椒
Zanthoxylum piperitum DC.,,"[医] 川椒, 秦椒"
Zanthoxylum planispinum Sieb. et Zucc.,,[医] 竹叶椒
Zanthoxylum senegalense,,[医] 西非花椒
Zanthoxylum simulans Hance,,[医] 野花椒
ZANU,,abbr.Zimbabwe African National Union 津巴布韦非洲民族联盟
zanuck,n. United States filmmaker whose works include the first full-length feature film with sound sequences (1902-1979),n. (Zanuck)人名；(英)扎纳克
zany,n. a buffoon in one of the old comedies; imitates others for ludicrous effect,"n. 小丑, 笨人, 马屁精\na. 滑稽的, 滑稽愚蠢的"
zanyism,n. State or character of a zany; buffoonery.,"n. 滑稽表演, 笑剧"
zanza,,n. (非洲土人用)一种敲击木琴
zanzi,, [人名] 赞齐
Zanzibar,n. an island in the Indian Ocean off the east coast of Africa; part of the United Republic of Tanzania,n. 桑给巴尔
Zanzibar aloe,,[医] 桑给巴尔芦荟
Zanzibar copal,,[网络] 桑给巴尔
Zanzibari,,n. 桑给巴尔人\na. 桑给巴尔的
zanzolin,,[医] 赞佐林(除虫菊和缬草根制成的杀虫药)
zao,,abbr. 掺铝氧化锌（zinc aluminium oxide）
zaomycin,,沙阿霉素
zap,"n. a sudden event that imparts energy or excitement, usually with a dramatic impact\nv. strike suddenly and with force\nv. kill with or as if with a burst of gunfire or electric current or as if by shooting","vt. 杀死, 快速推动, 闪电般击中\nvi. 快速移动\nn. 活力, 精力, 震击\ninterj. (表示快速)嚓"
zap rays,,死光
zapanta,, [人名] 扎潘塔
zapata,n. Mexican revolutionary who led a revolt for agrarian reforms (1879-1919),n. 萨帕塔小胡子（用作定语）
zapateado,,n. 踏足舞
zapateo,,n. 西班牙舞蹈的一种
zapatero,,革被木
Zapatismo,,<西>n.(墨西哥农民革命领袖)萨帕塔主义
Zapatista,,[西]萨帕塔主义者
zapf,, [医][=zinc adequate pair-fed]配有充足锌的食物
zapflap,,查普式后退襟翼
Zapien,"A person who abuses people who he believes are under him in status.\n> You don't want to work for that guy, he is a real Zapien.\n",
Zapodidae,n. jumping mice,林跳鼠科
zapon,,"硝化纤维清漆, 硝基清漆"
zapon lac,,[医] 火棉护漆
zaponlacquer,,硝基清漆
zapote,, 美果榄
Zapotec,n a member of a large tribe of Mesoamericans living in southern Mexico whose civilization flourished around 300 to 900\nn the language of the Zapotec\na of or relating to the language or culture of the Zapotec people,n. 萨巴特克人[语]\na. 萨巴特克人[语]的
Zapotecan,n a member of a large tribe of Mesoamericans living in southern Mexico whose civilization flourished around 300 to 900\nn the language of the Zapotec,n. 萨巴特克人[语]\na. 萨巴特克人[语]的
zapovednik,, [地名] 自然保护区（俄语）
zapp,,abbr. zygo automatic pattern processor 古自动图形处理器
zappa,,扎帕（人名）
zappacosta's test,,[医] 擦帕科斯特氏试验(检肝机能)
zapped,v strike suddenly and with force\nv kill with or as if with a burst of gunfire or electric current or as if by shooting\nv strike at with firepower or bombs\nv cook or heat in a microwave oven,"v. 杀死某人( zap的过去式和过去分词 ); 将某人打昏, 攻击某人; （沿某方向）突然或迅速移动"
zapper,n. an electrical device that can injure or kill by means of electric currents,"微波(或辐射)灭虫器, 微波除草器"
zappers,,n. 电子灭虫器( zapper的名词复数 ); （电视机的）遥控器
Zappert's chamber,,[医] 扎佩特氏计数池
zappiest,superlative of zappy,"(zappy 的最高级) -ier, iest 有趣的"
zapping,v strike suddenly and with force\nv kill with or as if with a burst of gunfire or electric current or as if by shooting\nv strike at with firepower or bombs\nv cook or heat in a microwave oven,n. (观看电视节目时以转换频道方式)跳过广告节目
zappy,,"-ier, iest 有趣的"
zaprinast,,敏喘宁
zaps,"n a sudden event that imparts energy or excitement, usually with a dramatic impact\nv strike suddenly and with force\nv kill with or as if with a burst of gunfire or electric current or as if by shooting\nv strike at with firepower or bombs\nv cook or heat in a microwave oven","v. 杀死某人( zap的第三人称单数 ); 将某人打昏, 攻击某人; （沿某方向）突然或迅速移动"
zaptiah,n. A Turkish policeman.,n. 土耳其警察
ZAPU,,abbr.Zimbabwe African People's Union津巴布韦非洲人民联盟
Zapus,,[网络] 美洲林跳鼠属
Zapus hudsonius,,[网络] 草原林跳鼠学名
Zaqaziq,,扎加齐格[埃及东北部城市]
zar,, 金
zara,,n. 扎拉（南斯拉夫西部港市扎达尔）；西班牙一品牌
zarafshan,, [地名] [乌兹别克斯坦·塔吉克斯坦] 扎拉夫尚河
Zaragoza,n. an ancient city on the Ebro River in northeastern Spain; formerly the capital of Aragon,<西>=Saragossa
zaranj,, [地名] [阿富汗] 扎兰季
zaranthan,,乳房硬化
zarape,,n. 一种华丽的毛织布
Zarathustra,n Persian prophet who founded Zoroastrianism (circa 628-551 BC),拜火教的创始人
zarathustrian,a. Alt. of Zarathustric,a. 与索罗亚斯德教有关的\nn. 索罗亚斯德教的教徒
zarathustric,"a. Of or pertaining to Zarathustra, or Zoroaster;\n   Zoroastrian.",a. Zarathustra的变形
